PITCHER,PITCHER_ID
Mike Leake,502190
Trevor Bauer,545333
Nick Goody,580792
Tyler Olson,621397
Dan Otero,519096
Juan Nicasio,504379
Sonny Gray,543243
Chris Tillman,501957
Nestor Cortes,641482
David Robertson,502085
Luis Cessa,570666
Jimmy Yacabonis,642231
Adam Warren,476589
Richard Bleier,542947
Kevin Gausman,592332
Marco Estrada,462136
John Axford,446099
Darren O'Day,503285
Seunghwan Oh,493200
Brad Brach,542960
Danny Barnes,592130
Tyler Clippard,461325
JC Ramirez,500724
Luke Bard,572703
Noe Ramirez,598287
Michael Clevinger,605182
Jose Alvarez,501625
Matt Belisle,279571
Mike Minor,501985
Jake Diekman,518617
Kevin Jepsen,448178
Marcus Stroman,573186
Blake Parker,453284
Corey Kluber,446372
Andrew Miller,453192
Jim Johnson,462382
Keynan Middleton,641871
Tyler Skaggs,572140
Cody Allen,592102
Chris Devenski,606965
Chris Martin,455119
Gerrit Cole,543037
Alex Claudio,592222
Zach McAllister,502083
Tyson Ross,475115
Kyle Freeland,607536
Scott Oberg,623184
Cam Bedrosian,592135
Nick Gardewine,643320
Ken Giles,571704
Wade Davis,451584
Anibal Sanchez,434671
Dan Winkler,595465
Craig Stammen,489334
Kirby Yates,489446
Antonio Senzatela,622608
Mike Dunn,445197
Alex Colome,517008
Hector Santiago,502327
Ryan Weber,543901
Matt Andriese,542882
Carson Fulmer,608334
Blake Snell,605483
Gregory Infante,500872
Andrew Kittredge,552640
Josh Tomlin,458708
Garrett Richards,572070
Blake Wood,502028
Chad Bettis,518452
Jake McGee,459429
Arodys Vizcaino,527055
Bryan Shaw,543766
A.J. Minter,621345
Sam Freeman,518693
Cole Hamels,430935
Jaime Garcia,448802
Aaron Bummer,607481
Chris Volstad,458690
Jose Berrios,621244
Lucas Giolito,608337
Zack Greinke,425844
Bartolo Colon,112526
Roberto Osuna,532077
Aaron Loup,571901
Adam Ottavino,493603
Tanner Roark,543699
Trevor Gott,641627
Gabriel Moya,622382
Ryan Pressly,519151
Kyle Gibson,502043
Dan Altavilla,656186
James Paxton,572020
Michael Wacha,608379
Jordan Hicks,663855
Matt Koch,571863
Fernando Salas,477569
Matt Bowman,621199
Sammy Solis,519301
Brandon Kintzler,445213
Aaron Sanchez,592717
Hector Velazquez,584171
Jose Alvarado,621237
Eduardo Rodriguez,593958
Craig Kimbrel,518886
Brian Johnson,598271
Ryan Yarbrough,642232
Nick Vincent,543883
Taylor Rogers,573124
Zach Duke,435043
Fernando Rodney,407845
Addison Reed,592665
Dominic Leone,608678
Bud Norris,502032
Yonny Chirinos,630023
James Shields,448306
Austin Pruitt,643493
Bruce Rondon,541652
Bobby Poyner,596074
Heath Hembree,592390
Carson Smith,605476
Will Harris,501789
Charlie Morton,450203
Nate Jones,518858
Ryan Tepera,572193
Danny Farquhar,543144
Shane Carle,641438
Brandon McCarthy,435221
Ryan Madson,425492
Shawn Kelley,518875
Matt Grace,594840
Jose Ramirez,542432
A.J. Cole,595918
Tyler Beede,595881
Patrick Corbin,571578
Reyes Moronta,606625
Hunter Strickland,519326
Josh Osich,592612
Jorge De La Rosa,407822
Collin McHugh,543521
Miguel Castro,612434
Kevin McCarthy,641838
Justin Grimm,518748
Brad Keller,641745
Jason Hammel,434628
Andrew Chafin,605177
Tony Watson,453265
Cory Gearrin,518715
Chasen Bradford,607473
Joakim Soria,465657
Danny Duffy,518633
Edwin Diaz,621242
Brad Peacock,502748
Miguel Gonzalez,456068
J.A. Happ,457918
Andrew Heaney,571760
Jakob Junis,596001
Marco Gonzales,594835
Casey Lawrence,596271
Brian Flynn,543169
Taylor Motter,600301
Brandon Maurer,543506
Tim Hill,657612
Jake Odorizzi,543606
Tyler Glasnow,607192
Ivan Nova,467100
Trevor Hildenberger,657610
Alex Wood,622072
Ross Stripling,548389
Juan Minaya,573668
Max Scherzer,453286
Chris Rusin,543734
Jon Gray,592351
Dovydas Neverauskas,596720
Kyle Hendricks,543294
Trevor Williams,592866
Justin Wilson,458677
Michael Feliz,593140
Felipe Vazquez,553878
Brad Boxberger,502202
Tyler Mahle,641816
Tyler Chatwood,543022
Jared Hughes,453172
Wandy Peralta,593974
Raisel Iglesias,628452
Sean Doolittle,448281
Marcus Walden,519393
Alex Cobb,502171
Josh Hader,623352
Brandon Woodruff,605540
Mike Montgomery,543557
Carl Edwards,605218
Matt Albers,458006
Jeremy Jeffress,502026
Steve Cishek,518553
George Kontos,502004
Joe Kelly,523260
Mychal Givens,571710
Donnie Hart,643354
Pedro Strop,467008
Jameson Taillon,592791
Trevor Richards,670950
Brian Duensing,488846
